Geografia_ID,Departamento,Ciudad
G-001,Canelones,Pando
G-002,Montevideo,Centro
G-003,Canelones,Canelones
G-004,Florida,Sarandí Grande
G-005,Florida,Florida (ciudad)
G-006,Salto,Termas del Daymán
G-007,Salto,Constitución
G-008,Salto,Salto
G-009,Colonia,Colonia del Sacramento
G-010,Florida,Casupá
G-011,Maldonado,Maldonado
G-012,Montevideo,Pocitos
G-013,Colonia,Nueva Helvecia
G-014,Colonia,Carmelo
G-015,Maldonado,San Carlos
G-016,Maldonado,Punta del Este
G-017,Montevideo,Carrasco
G-018,Canelones,Las Piedras
